ImageId,Label
1,3
2,5
3,9
4,0
5,3
6,7
7,6
8,3
9,3
10,3
11,5
12,6
13,9
14,8
15,4
16,5
17,3
18,1
19,9
20,0
21,9
22,1
23,1
24,5
25,7
26,1
27,2
28,7
29,4
30,7
31,7
32,5
33,4
34,7
35,6
36,2
37,2
38,3
39,1
40,2
41,7
42,7
43,7
44,9
45,8
46,5
47,8
48,3
49,4
50,7
51,9
52,8
53,0
54,3
55,8
56,2
57,1
58,0
59,5
60,3
61,6
62,1
63,7
64,0
65,0
66,6
67,1
68,9
69,0
70,1
71,8
72,5
73,8
74,8
75,8
76,2
77,5
78,9
79,3
80,3
81,5
82,4
83,1
84,8
85,9
86,2
87,4
88,0
89,6
90,0
91,3
92,8
93,0
94,6
95,6
96,4
97,3
98,6
99,7
100,9
101,0
102,9
103,7
104,3
105,4
106,3
107,0
108,3
109,0
110,3
111,0
112,6
113,4
114,4
115,1
116,7
117,1
118,1
119,5
120,3
121,3
122,4
123,2
124,0
125,7
126,3
127,8
128,7
129,2
130,7
131,3
132,3
133,4
134,0
135,6
136,0
137,3
138,1
139,3
140,8
141,3
142,2
143,4
144,5
145,5
146,6
147,7
148,7
149,2
150,8
151,1
152,3
153,5
154,0
155,2
156,8
157,6
158,5
159,7
160,8
161,5
162,9
163,4
164,2
165,1
166,3
167,7
168,8
169,3
170,0
171,2
172,7
173,8
174,0
175,1
176,5
177,7
178,2
179,1
180,5
181,9
182,9
183,5
184,0
185,6
186,9
187,2
188,1
189,0
190,0
191,2
192,1
193,4
194,0
195,4
196,0
197,9
198,7
199,9
200,9
201,1
202,9
203,0
204,9
205,9
206,0
207,8
208,4
209,4
210,8
211,0
212,4
213,3
214,6
215,2
216,2
217,1
218,6
219,3
220,4
221,3
222,3
223,1
224,0
225,8
226,4
227,9
228,9
229,1
230,8
231,8
232,4
233,9
234,1
235,7
236,3
237,2
238,3
239,8
240,0
241,3
242,6
243,2
244,3
245,3
246,5
247,6
248,8
249,8
250,5
251,9
252,4
253,1
254,8
255,8
256,6
257,6
258,1
259,4
260,5
261,0
262,5
263,3
264,5
265,7
266,9
267,9
268,8
269,3
270,1
271,6
272,6
273,0
274,3
275,8
276,8
277,1
278,2
279,8
280,4
281,6
282,9
283,5
284,8
285,5
286,2
287,9
288,1
289,9
290,9
291,9
292,7
293,7
294,9
295,9
296,6
297,8
298,0
299,3
300,3
301,9
302,9
303,8
304,2
305,4
306,3
307,2
308,1
309,4
310,3
311,8
312,5
313,9
314,6
315,8
316,3
317,8
318,6
319,1
320,6
321,9
322,1
323,1
324,9
325,8
326,4
327,0
328,1
329,5
330,5
331,4
332,3
333,1
334,5
335,9
336,9
337,9
338,0
339,4
340,6
341,8
342,3
343,1
344,0
345,4
346,0
347,0
348,2
349,8
350,2
351,8
352,7
353,7
354,7
355,5
356,8
357,3
358,9
359,6
360,9
361,3
362,6
363,5
364,8
365,4
366,6
367,3
368,8
369,1
370,6
371,4
372,8
373,7
374,9
375,7
376,6
377,9
378,5
379,3
380,7
381,0
382,3
383,3
384,8
385,2
386,9
387,6
388,1
389,5
390,9
391,1
392,7
393,9
394,9
395,9
396,1
397,1
398,1
399,6
400,5
401,9
402,7
403,6
404,1
405,1
406,1
407,0
408,3
409,0
410,5
411,2
412,6
413,4
414,1
415,3
416,3
417,1
418,1
419,3
420,5
421,9
422,6
423,6
424,5
425,3
426,1
427,4
428,4
429,9
430,7
431,4
432,8
433,5
434,3
435,8
436,1
437,3
438,8
439,3
440,2
441,8
442,4
443,7
444,4
445,4
446,4
447,1
448,5
449,3
450,9
451,0
452,7
453,8
454,9
455,5
456,9
457,5
458,3
459,8
460,8
461,4
462,7
463,5
464,0
465,5
466,1
467,6
468,4
469,4
470,1
471,1
472,6
473,9
474,6
475,6
476,0
477,1
478,8
479,1
480,8
481,4
482,8
483,1
484,7
485,7
486,0
487,4
488,0
489,5
490,7
491,4
492,4
493,2
494,4
495,3
496,0
497,2
498,3
499,0
500,9
501,0
502,2
503,9
504,6
505,1
506,6
507,0
508,3
509,0
510,2
511,7
512,0
513,8
514,5
515,8
516,3
517,6
518,7
519,4
520,5
521,4
522,2
523,4
524,7
525,7
526,1
527,0
528,1
529,1
530,7
531,0
532,5
533,3
534,8
535,8
536,5
537,9
538,5
539,4
540,0
541,3
542,2
543,8
544,2
545,0
546,6
547,6
548,9
549,2
550,1
551,1
552,3
553,8
554,5
555,2
556,8
557,7
558,3
559,6
560,2
561,6
562,3
563,0
564,1
565,8
566,3
567,4
568,1
569,1
570,9
571,8
572,3
573,3
574,6
575,8
576,4
577,8
578,8
579,4
580,3
581,5
582,1
583,2
584,4
585,9
586,1
587,4
588,3
589,8
590,6
591,8
592,8
593,1
594,5
595,3
596,6
597,0
598,6
599,8
600,8
601,0
602,1
603,7
604,1
605,0
606,3
607,8
608,5
609,6
610,1
611,7
612,4
613,3
614,2
615,3
616,6
617,7
618,0
619,0
620,9
621,8
622,5
623,9
624,0
625,0
626,8
627,8
628,3
629,0
630,5
631,0
632,1
633,8
634,6
635,1
636,6
637,7
638,7
